"branch","sigma_3","sigma_1","sigma_n","tau","alpha_deg","beta_deg","beta_rad","sigma_n_pri","tau_pri"
"NGC",-19.9999999999973,75.5124925656465,-19.9817459811983,1.32028543339357,89.2078897664292,88.4157795328583,1.54314646356579,-0.999087299059915,0.0660142716696785
"NGC",-19.999999999997,75.5124925670805,-19.9812925120938,1.33658102230956,89.1981106277431,88.3962212554862,1.54280510722963,-0.999064625604692,0.0668290511154781
"NGC",-19.9999999999967,75.5124925686047,-19.9808334804133,1.35287645548335,89.188331489057,88.3766629781141,1.54246375089347,-0.999041674020667,0.0676438227741673
"NGC",-19.9999999999964,75.5124925702235,-19.9803688862103,1.36917173101624,89.178552350371,88.357104700742,1.54212239455731,-0.999018444310514,0.0684585865508121
"NGC",-19.999999999996,75.5124925719416,-19.9798987295388,1.38546684700956,89.1687732116849,88.3375464233698,1.54178103822114,-0.998994936476939,0.0692733423504781
"NGC",-19.9999999999957,75.5124925737639,-19.9794230104536,1.40176180156465,89.1589940729989,88.3179881459977,1.54143968188498,-0.998971150522681,0.0700880900782326
"NGC",-19.9999999999952,75.5124925756953,-19.9789417290102,1.41805659278289,89.1492149343128,88.2984298686256,1.54109832554882,-0.998947086450512,0.0709028296391443
"NGC",-19.9999999999948,75.5124925777409,-19.9784548852647,1.43435121876565,89.1394357956267,88.2788715912535,1.54075696921266,-0.998922744263235,0.0717175609382825
"NGC",-19.9999999999943,75.5124925799062,-19.9779624792737,1.45064567761438,89.1296566569407,88.2593133138814,1.5404156128765,-0.998898123963687,0.0725322838807192
"NGC",-19.9999999999937,75.5124925821966,-19.9774645110947,1.46693996743053,89.1198775182546,88.2397550365092,1.54007425654034,-0.998873225554736,0.0733469983715264
"NGC",-19.9999999999932,75.5124925846178,-19.9769609807857,1.48323408631556,89.1100983795686,88.2201967591371,1.53973290020417,-0.998848049039283,0.0741617043157779
"NGC",-19.9999999999925,75.5124925871759,-19.9764518884052,1.49952803237097,89.1003192408825,88.200638481765,1.53939154386801,-0.998822594420261,0.0749764016185486
"NGC",-19.9999999999919,75.5124925898769,-19.9759372340127,1.51582180369829,89.0905401021964,88.1810802043929,1.53905018753185,-0.998796861700637,0.0757910901849146
"NGC",-19.9999999999911,75.5124925927271,-19.9754170176682,1.53211539839909,89.0807609635104,88.1615219270208,1.53870883119569,-0.998770850883408,0.0766057699199546
"NGC",-19.9999999999904,75.5124925957331,-19.9748912394321,1.54840881457495,89.0709818248243,88.1419636496486,1.53836747485953,-0.998744561971605,0.0774204407287475
"NGC",-19.9999999999895,75.5124925989015,-19.9743598993658,1.56470205032748,89.0612026861383,88.1224053722765,1.53802611852336,-0.99871799496829,0.0782351025163738
"NGC",-19.9999999999886,75.5124926022394,-19.9738229975312,1.58099510375832,89.0514235474522,88.1028470949044,1.5376847621872,-0.998691149876559,0.0790497551879158
"NGC",-19.9999999999876,75.512492605754,-19.9732805339908,1.59728797296913,89.0416444087661,88.0832888175323,1.53734340585104,-0.998664026699539,0.0798643986484565
"NGC",-19.9999999999866,75.5124926094525,-19.9727325088078,1.61358065606164,89.0318652700801,88.0637305401602,1.53700204951488,-0.998636625440391,0.0806790328030821
"NGC",-19.9999999999855,75.5124926133426,-19.9721789220461,1.62987315113757,89.022086131394,88.044172262788,1.53666069317872,-0.998608946102306,0.0814936575568787
"NGC",-19.9999999999843,75.5124926174323,-19.9716197737702,1.64616545629869,89.012306992708,88.0246139854159,1.53631933684256,-0.99858098868851,0.0823082728149346
"NGC",-19.999999999983,75.5124926217296,-19.9710550640452,1.66245756964679,89.0025278540219,88.0050557080438,1.53597798050639,-0.99855275320226,0.0831228784823396
"NGC",-19.9999999999816,75.5124926262429,-19.9704847929369,1.67874948928369,88.9927487153358,87.9854974306717,1.53563662417023,-0.998524239646846,0.0839374744641845
"NGC",-19.9999999999801,75.5124926309807,-19.9699089605118,1.69504121331127,88.9829695766498,87.9659391532996,1.53529526783407,-0.998495448025588,0.0847520606655634
"NGC",-19.9999999999785,75.512492635952,-19.9693275668368,1.71133273983141,88.9731904379637,87.9463808759274,1.53495391149791,-0.998466378341841,0.0855666369915706
"NGC",-19.9999999999768,75.5124926411658,-19.9687406119799,1.72762406694605,88.9634112992777,87.9268225985553,1.53461255516175,-0.998437030598993,0.0863812033473024
"NGC",-19.999999999975,75.5124926466315,-19.9681480960092,1.74391519275714,88.9536321605916,87.9072643211832,1.53427119882558,-0.998407404800461,0.0871957596378569
"NGC",-19.9999999999731,75.5124926523587,-19.967550018994,1.76020611536667,88.9438530219055,87.8877060438111,1.53392984248942,-0.998377500949698,0.0880103057683334
"NGC",-19.9999999999711,75.5124926583575,-19.9669463810037,1.77649683287669,88.9340738832195,87.868147766439,1.53358848615326,-0.998347319050187,0.0888248416438347
"NGC",-19.9999999999689,75.5124926646379,-19.9663371821089,1.79278734338927,88.9242947445334,87.8485894890669,1.5332471298171,-0.998316859105443,0.0896393671694636
"NGC",-19.9999999999665,75.5124926712105,-19.9657224223803,1.8090776450065,88.9145156058474,87.8290312116947,1.53290577348094,-0.998286121119016,0.0904538822503252
"NGC",-19.999999999964,75.512492678086,-19.9651021018897,1.82536773583054,88.9047364671613,87.8094729343226,1.53256441714478,-0.998255105094487,0.0912683867915269
"NGC",-19.9999999999614,75.5124926852755,-19.9644762207093,1.84165761396354,88.8949573284752,87.7899146569505,1.53222306080861,-0.998223811035467,0.0920828806981768
"NGC",-19.9999999999586,75.5124926927905,-19.9638447789121,1.85794727750774,88.8851781897892,87.7703563795784,1.53188170447245,-0.998192238945604,0.092897363875387
"NGC",-19.9999999999556,75.5124927006424,-19.9632077765715,1.8742367245654,88.8753990511031,87.7507981022062,1.53154034813629,-0.998160388828574,0.0937118362282698
"NGC",-19.9999999999524,75.5124927088435,-19.9625652137618,1.8905259532388,88.8656199124171,87.7312398248341,1.53119899180013,-0.998128260688088,0.09452629766194
"NGC",-19.999999999949,75.512492717406,-19.9619170905578,1.90681496163029,88.855840773731,87.711681547462,1.53085763546397,-0.998095854527888,0.0953407480815143
"NGC",-19.9999999999454,75.5124927263424,-19.961263407035,1.92310374784222,88.846061635045,87.6921232700899,1.53051627912781,-0.99806317035175,0.0961551873921109
"NGC",-19.9999999999416,75.5124927356658,-19.9606041632696,1.93939230997704,88.8362824963589,87.6725649927178,1.53017492279164,-0.99803020816348,0.0969696154988519
"NGC",-19.9999999999375,75.5124927453894,-19.9599393593384,1.95568064613719,88.8265033576728,87.6530067153457,1.52983356645548,-0.997996967966918,0.0977840323068596
"NGC",-19.9999999999332,75.512492755527,-19.9592689953187,1.97196875442518,88.8167242189868,87.6334484379735,1.52949221011932,-0.997963449765936,0.0985984377212591
"NGC",-19.9999999999287,75.5124927660924,-19.9585930712888,1.98825663294355,88.8069450803007,87.6138901606014,1.52915085378316,-0.997929653564439,0.0994128316471776
"NGC",-19.9999999999239,75.5124927771,-19.9579115873272,2.00454427979488,88.7971659416147,87.5943318832293,1.528809497447,-0.997895579366362,0.100227213989744
"NGC",-19.9999999999188,75.5124927885646,-19.9572245435135,2.02083169308182,88.7873868029286,87.5747736058572,1.52846814111083,-0.997861227175674,0.101041584654091
"NGC",-19.9999999999134,75.512492800501,-19.9565319399276,2.03711887090704,88.7776076642425,87.555215328485,1.52812678477467,-0.997826596996378,0.101855943545352
"NGC",-19.9999999999077,75.5124928129249,-19.9558337766501,2.05340581137326,88.7678285255565,87.5356570511129,1.52778542843851,-0.997791688832506,0.102670290568663
"NGC",-19.9999999999017,75.5124928258519,-19.9551300537625,2.06969251258325,88.7580493868704,87.5160987737408,1.52744407210235,-0.997756502688124,0.103484625629162
"NGC",-19.9999999998953,75.5124928392982,-19.9544207713466,2.08597897263982,88.7482702481844,87.4965404963687,1.52710271576619,-0.997721038567331,0.104298948631991
